代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
837046,亿能电力,9.76,26.75,2.06,0.00,34.38,1.53,31.30,1.33亿,4457.87万,4.35亿,44.48
301136,招标股份,12.34,20.04,2.06,0.00,15.41,2.63,18.19,1.89亿,1.04亿,12.82亿,121.70
300270,中威电子,6.83,20.04,1.14,0.00,8.53,2.94,14.76,1.40亿,2.43亿,16.57亿,亏损
300822,贝仕达克,17.62,20.03,2.94,0.00,15.79,2.44,12.40,5.89亿,2.23亿,39.23亿,63.28
301176,逸豪新材,17.63,20.01,2.94,0.00,19.48,4.47,10.41,1.88亿,5635.56万,9.94亿,亏损
301587,中瑞股份,34.68,20.00,5.78,0.00,55.23,3.04,21.94,5.29亿,2898.39万,10.05亿,44.45
300552,万集科技,40.57,19.99,6.76,0.00,36.28,2.16,15.50,17.86亿,1.26亿,51.07亿,亏损
300918,南山智尚,12.80,19.96,2.13,0.00,12.41,3.87,20.06,5.40亿,3.60亿,46.08亿,31.15
300423,昇辉科技,7.04,19.93,1.17,0.00,23.14,1.93,23.51,4.96亿,3.25亿,22.85亿,171.16
300117,*ST嘉寓,0.86,19.44,0.14,0.00,1.81,0.34,--,1114.40万,7.17亿,6.16亿,亏损
301179,泽宇智能,20.40,15.25,2.70,0.44,22.60,1.50,18.14,3.63亿,8365.24万,17.07亿,74.54
300215,电科院,6.73,14.65,0.86,0.00,14.58,1.06,16.35,6.33亿,6.91亿,46.47亿,1269.87
300641,正丹股份,25.86,13.57,3.09,-0.46,16.95,1.20,16.51,22.16亿,5.21亿,134.77亿,57.14
301361,众智科技,39.50,13.57,4.72,-0.50,76.89,1.07,22.89,7.87亿,2908.40万,11.49亿,89.19
300547,川环科技,19.87,13.54,2.37,0.15,15.85,11.62,23.31,5.45亿,1.78亿,35.41亿,24.38
300932,三友联众,10.73,12.83,1.22,-0.65,13.08,2.70,26.39,2.16亿,1.63亿,17.47亿,86.90
920002,万达轴承,81.00,12.50,9.00,0.00,73.46,0.95,26.08,2.74亿,475.00万,3.85亿,51.95
600297,广汇汽车,1.38,10.40,0.13,0.00,2.90,3.93,12.80,3.15亿,81.11亿,111.94亿,39.45
301083,百胜智能,15.93,10.32,1.49,0.00,38.55,2.69,20.43,3.27亿,5485.77万,8.74亿,64.95
873806,云星宇,9.65,10.29,0.90,0.00,31.97,3.97,12.57,2.30亿,7594.34万,7.33亿,33.16
000793,华闻集团,0.86,10.26,0.08,0.00,19.05,2.50,20.51,2.76亿,19.61亿,16.86亿,亏损
600550,保变电气,4.69,10.09,0.43,0.00,2.76,1.04,15.02,2.22亿,18.42亿,86.37亿,1030.01
300040,九洲集团,7.53,10.09,0.69,0.40,31.34,1.07,23.83,10.25亿,4.61亿,34.69亿,45.96
001267,汇绿生态,5.47,10.06,0.50,0.00,13.22,1.10,9.86,2.52亿,3.63亿,19.87亿,349.23
002811,郑中设计,8.32,10.05,0.76,0.00,4.73,3.81,5.16,9657.11万,2.47亿,20.57亿,13.81
000620,新华联,2.19,10.05,0.20,0.00,4.83,1.82,12.56,4.27亿,41.45亿,90.78亿,155.41
603776,永安行,10.74,10.04,0.98,0.00,3.45,4.15,11.58,8214.07万,2.29亿,24.65亿,亏损
601028,玉龙股份,12.50,10.04,1.14,0.00,6.16,1.74,8.80,5.89亿,7.83亿,97.88亿,23.17
600312,平高电气,15.68,10.04,1.43,0.00,5.33,3.17,10.81,11.04亿,13.57亿,212.77亿,23.14
601179,中国西电,7.46,10.03,0.68,0.00,4.46,2.25,10.03,16.42亿,51.26亿,382.39亿,47.03
603767,中马传动,13.50,10.02,1.23,0.00,3.76,2.32,11.98,1.55亿,3.09亿,41.67亿,69.48
603836,海程邦达,14.71,10.02,1.34,0.00,4.35,1.19,10.62,1.25亿,2.05亿,30.19亿,24.27
301082,久盛电气,16.25,10.02,1.48,0.31,21.07,1.23,13.81,2.20亿,6793.86万,11.04亿,102.69
600774,汉商集团,8.79,10.01,0.80,0.00,6.58,1.25,9.26,1.68亿,2.95亿,25.92亿,51.16
002869,金溢科技,21.65,10.01,1.97,0.00,15.31,2.38,7.11,5.18亿,1.58亿,34.24亿,亏损
600131,国网信通,19.57,10.01,1.78,0.00,3.64,2.59,10.51,8.25亿,11.94亿,233.73亿,485.93
000151,中成股份,11.66,10.00,1.06,0.00,1.47,0.63,--,4566.87万,2.67亿,31.08亿,亏损
