time,cityname,pointgid,pointname,pointlevel,region,latitude,longitude,aqi,zq_aqi,pm2_5,pm10,so2,no2,co,o3,complexindex,level,quality,primary_pollutant,ratio,indexratio
2023-12-17 14:00:00,北京,7,海淀万柳,国控点,海淀区,39.993400,116.315000,43,43,12,43,3,19,0.400,67,2.0008929,一级,优,,0.075,0.0211
2023-12-17 14:00:00,北京,42894,海淀万柳,国控点,海淀区,39.993400,116.315000,43,43,12,43,3,19,0.400,67,2.0008929,一级,优,,0.075,0.0211
2023-12-17 14:00:00,北京,5698,通州东关,国控点,通州区,39.908100,116.680400,38,45,20,38,2,22,0.400,50,2.1101190,一级,优,,0.027,0.0159
2023-12-17 14:00:00,北京,42895,丰台小屯,国控点,丰台区,39.876800,116.254500,37,45,16,37,1,14,0.500,61,1.8586310,一级,优,,0.0882,0.1248
2023-12-17 14:00:00,北京,2763,房山良乡,省控点,房山区,39.742200,116.135800,34,34,20,34,3,12,0.300,68,1.9071429,一级,优,,-0.0286,-0.0278
2023-12-17 14:00:00,北京,5,朝阳农展馆,国控点,朝阳区,39.971600,116.473000,33,33,14,33,3,16,0.500,64,1.8464286,一级,优,,-0.0571,-0.0457
2023-12-17 14:00:00,北京,2752,门头沟龙泉镇,省控点,门头沟区,39.937300,116.105700,33,33,11,33,3,14,0.200,64,1.6357143,一级,优,,0.0313,-0.0149
2023-12-17 14:00:00,北京,5,农展馆,国控点,朝阳区,39.971600,116.473000,33,41,14,33,3,16,0.500,64,1.8464286,一级,优,,-0.0571,-0.0457
2023-12-17 14:00:00,北京,5693,大兴旧宫,国控点,大兴区,39.773300,116.467200,32,40,16,32,2,10,0.100,66,1.6351190,一级,优,,-0.0857,-0.0557
2023-12-17 14:00:00,北京,12,古城,国控点,海淀区,39.927900,116.225000,31,44,14,31,2,7,0.300,62,1.5136905,一级,优,,-0.0606,-0.0105
2023-12-17 14:00:00,北京,12,石景山古城,国控点,海淀区,39.927900,116.225000,31,31,14,31,2,7,0.300,62,1.5136905,一级,优,,-0.0606,-0.0105
2023-12-17 14:00:00,北京,6,西城官园,国控点,西城区,39.942500,116.361000,31,31,14,31,4,16,0.500,66,1.8470238,一级,优,,-0.0882,-0.0386
2023-12-17 14:00:00,北京,6,官园,国控点,西城区,39.942500,116.361000,31,43,14,31,4,16,0.500,66,1.8470238,一级,优,,-0.0882,-0.0386
2023-12-17 14:00:00,北京,2761,丰台云岗,国控点,丰台区,39.820400,116.154100,30,30,20,30,2,11,0.400,63,1.8020833,一级,优,,-0.1176,-0.0242
2023-12-17 14:00:00,北京,2766,大兴黄村镇,省控点,大兴区,39.717500,116.403800,29,29,20,29,4,15,0.400,61,1.9086310,一级,优,,0.1154,0.0385
2023-12-17 14:00:00,北京,3,东四,国控点,朝阳区,39.952200,116.434000,29,44,14,29,1,13,0.700,56,1.6809524,一级,优,,-0.1471,-0.1051
2023-12-17 14:00:00,北京,3,东城东四,国控点,朝阳区,39.952200,116.434000,29,29,14,29,1,13,0.700,56,1.6809524,一级,优,,-0.1471,-0.1051
2023-12-17 14:00:00,北京,11,奥体中心,国控点,朝阳区,39.980000,116.400000,28,38,13,28,3,14,0.200,64,1.6214286,一级,优,,0,-0.0371
2023-12-17 14:00:00,北京,4,天坛,国控点,东城区,39.874500,116.434000,28,39,16,28,5,16,0.200,62,1.7779762,一级,优,,0.037,0.0653
2023-12-17 14:00:00,北京,11,朝阳奥体中心,国控点,朝阳区,39.980000,116.400000,28,28,13,28,3,14,0.200,64,1.6214286,一级,优,,0,-0.0371
2023-12-17 14:00:00,北京,4,东城天坛,国控点,东城区,39.874500,116.434000,28,28,16,28,5,16,0.200,62,1.7779762,一级,优,,0.037,0.0653
2023-12-17 14:00:00,北京,8,顺义新城,国控点,顺义区,40.143800,116.720000,27,27,16,27,3,24,0.300,52,1.8928571,一级,优,,0.125,0.2025
2023-12-17 14:00:00,北京,5692,房山燕山,国控点,房山区,39.760300,115.957700,26,48,13,26,2,10,0.400,61,1.5074405,一级,优,,-0.1034,-0.0836
2023-12-17 14:00:00,北京,10,昌平镇,国控点,昌平区,40.195200,116.230000,25,25,14,25,4,16,0.400,52,1.6488095,一级,优,,-0.0385,-0.0253
2023-12-17 14:00:00,北京,2750,平谷镇,省控点,平谷区,40.142600,117.100100,25,25,10,25,4,8,0.500,58,1.3970238,一级,优,,0,-0.0383
2023-12-17 14:00:00,北京,2757,京东南区域点,省控点,通州区,39.712000,116.783000,25,25,17,0,1,21,0.300,58,1.4648810,一级,优,,-0.3421,-0.3894
2023-12-17 14:00:00,北京,5694,京东南区域点,省控点,通州区,39.712000,116.783000,25,25,17,0,1,21,0.300,58,1.4648810,一级,优,,-0.3421,-0.3894
2023-12-17 14:00:00,北京,2746,延庆镇,省控点,延庆县,40.453200,115.971900,24,24,16,24,4,5,0.300,64,1.4666667,一级,优,,-0.04,0.009
2023-12-17 14:00:00,北京,42901,延庆夏都,国控点,延庆县,40.452900,115.971800,24,44,16,24,4,5,0.300,64,1.4666667,一级,优,,-0.04,0.009
2023-12-17 14:00:00,北京,2745,亦庄开发区,省控点,大兴区,39.795300,116.506200,23,23,16,22,3,13,0.300,57,1.5776786,一级,优,,-0.303,-0.0952
2023-12-17 14:00:00,北京,42904,密云新城,国控点,密云县,40.409500,116.833600,22,48,4,10,3,8,0.200,69,0.9883929,一级,优,,0,0.0212
2023-12-17 14:00:00,北京,42903,怀柔新城,国控点,怀柔区,40.305300,116.615100,21,48,11,21,3,7,0.200,59,1.2580357,一级,优,,0.05,0.072
2023-12-17 14:00:00,北京,9,怀柔镇,国控点,怀柔区,40.393700,116.644000,21,21,10,21,3,9,0.100,62,1.2732143,一级,优,,0.05,0.1572
2023-12-17 14:00:00,北京,42902,延庆石河营,国控点,延庆县,40.456300,115.986000,21,42,13,21,4,6,0.400,66,1.4005952,一级,优,,0,0.0307
2023-12-17 14:00:00,北京,42900,平谷新城,国控点,平谷区,40.146500,117.070900,21,45,9,20,13,7,0.800,65,1.5407738,一级,优,,-0.087,-0.068
2023-12-17 14:00:00,北京,2765,密云镇,国控点,密云县,40.384400,116.840000,20,20,9,14,1,5,0.200,64,1.0488095,一级,优,,0,0.0554
2023-12-17 14:00:00,北京,,定陵,,,,,20,20,9,20,2,15,0.400,54,1.3886905,一级,优,,0,-0.0114
2023-12-17 14:00:00,北京,42893,门头沟三家店,国控点,门头沟区,39.972600,116.088000,-1,43,0,0,0,0,0.000,0,0.0000000,一级,优,,0,0
